AbsCN.seq	ASCAT	PurBayes	ABSOLUTE	mean	median
TCGA-22-1002-01	0.51	0.35	0.427520208166809	0.38	0.416880052041702	0.403760104083405
TCGA-22-1005-01	0.37	0.26460134328935	0.09729044	0.12	0.212972945822338	0.192300671644675
TCGA-22-1011-01	0.42	0.23	0.8641943	0.36	0.468548575	0.39
TCGA-22-1012-01	0.36	0.45	0.462206	0.32	0.3980515	0.405
TCGA-22-1016-01	0.51	0.29	0.387619367932869	0.33	0.379404841983217	0.358809683966435
TCGA-22-4591-01	0.83	0.64	0.754864519917202	0.73	0.7387161299793	0.742432259958601
TCGA-22-4593-01	0.69	0.59	0.703689391594659	0.77	0.688422347898665	0.69684469579733
TCGA-22-4594-01	0.34	0.41	0.577406	0.24	0.3918515	0.375
TCGA-22-4595-01	0.8	0.47	0.5900521	0.46	0.580013025	0.53002605
TCGA-22-4596-01	0.2	0.23	0.3526845	0.69	0.368171125	0.29134225
TCGA-22-4599-01	0.46	0.47	0.8626611	0.47	0.565665275	0.47
TCGA-22-4601-01	0.71	0.67	0.7021203	0.78	0.715530075	0.70606015
TCGA-22-4604-01	0.543390588462365	0.43	0.615864677780163	0.84	0.607313816560632	0.579627633121264
TCGA-22-4605-01	0.25	0.25	0.2533707	0.24	0.248342675	0.25
TCGA-22-4607-01	0.75	0.6	0.4921257	0.63	0.618031425	0.615
TCGA-22-4609-01	0.41	0.4	0.3852364	0.42	0.4038091	0.405
TCGA-22-4613-01	0.59	0.59	0.624840939673792	0.62	0.606210234918448	0.605
TCGA-22-5471-01	0.75	0.43	0.4272297	0.44	0.511807425	0.435
TCGA-22-5472-01	0.46	0.63	0.5888795	0.65	0.582219875	0.60943975
TCGA-22-5473-01	0.59	0.55	0.8587008	0.58	0.6446752	0.585
TCGA-22-5474-01	0.65	0.54	0.4399837	0.55	0.544995925	0.545
TCGA-22-5477-01	0.73	0.64	0.7304058	0.73	0.70760145	0.73
TCGA-22-5478-01	0.47	0.38	0.4545195	0.4	0.426129875	0.42725975
TCGA-22-5479-01	0.36	0.28	0.3942105	0.28	0.328552625	0.32
TCGA-22-5480-01	0.52	0.65	0.6645341	0.71	0.636133525	0.65726705
TCGA-22-5481-01	0.64	0.65	0.9772175	0.7	0.741804375	0.675
TCGA-22-5482-01	0.83	0.45	0.656515061700768	0.66	0.649128765425192	0.658257530850384
TCGA-22-5483-01	0.62	0.56	0.5928941	0.7	0.618223525	0.60644705
TCGA-22-5485-01	0.56	0.68	0.6624951	0.72	0.655623775	0.67124755
TCGA-22-5489-01	0.38	0.43	0.3934634	0.43	0.40836585	0.4117317
TCGA-22-5491-01	0.72	0.58	0.7457909	0.67	0.678947725	0.695
TCGA-22-5492-01	0.55	0.56	0.5225567	0.56	0.548139175	0.555
TCGA-22-A5C4-01	0.55	0.47	0.8783956	0.68	0.6445989	0.615
TCGA-23-1022-01	0.81	0.76	0.847428074837067	0.89	0.826857018709267	0.828714037418533
TCGA-23-1027-01	0.77	0.75	0.7392312	0.8	0.7648078	0.76
TCGA-23-1029-01	0.72	0.8	0.816274086058764	0.83	0.791568521514691	0.808137043029382
TCGA-23-1030-01	0.76	0.77	0.5268352	0.87	0.7317088	0.765
TCGA-23-1032-01	0.62	0.52	0.596660871859314	0.59	0.581665217964829	0.593330435929657
TCGA-23-1110-01	0.94	0.86	0.953557347622192	0.97	0.930889336905548	0.946778673811096
TCGA-23-1111-01	0.69	0.78	0.4825875	0.83	0.695646875	0.735
TCGA-23-1113-01	0.89	0.85	0.8829367	0.93	0.888234175	0.88646835
TCGA-23-1114-01	0.52	0.68	0.9654824	0.76	0.7313706	0.72
TCGA-23-1116-01	0.44	0.32	0.38090743654139	0.34	0.370226859135347	0.360453718270695
TCGA-23-1118-01	0.45	0.45	0.5754075	0.79	0.566351875	0.51270375
TCGA-23-1122-01	0.52	0.69	0.5232137	0.656604844200481	0.59745463605012	0.58990927210024
TCGA-23-1123-01	0.81	0.71	0.5829851	0.8	0.725746275	0.755
TCGA-23-1809-01	0.68	0.73	0.6758032	0.8	0.7214508	0.705
TCGA-23-2077-01	0.5	0.54	0.4423322	0.47	0.48808305	0.485
TCGA-23-2078-01	0.47	0.57	0.9192116	0.6	0.6398029	0.585
TCGA-23-2081-01	0.623592491737097	0.62	0.6568023	0.91	0.702598697934274	0.640197395868549
TCGA-23-2084-01	0.73	0.61	0.8295279	0.69	0.714881975	0.71
TCGA-24-0966-01	0.95	0.85	0.7019844	0.901956194790535	0.850985148697634	0.875978097395268
TCGA-24-0970-01	0.5	0.65	0.6272058	0.68	0.61430145	0.6386029
TCGA-24-0975-01	0.58	0.41	0.532584259995561	0.566447368063916	0.522257907014869	0.549515814029738
