,mean_z_low,Cell type
HN28_P14_C02_S122_comb,0.1117270072128685,Non-malignant
HN28_P14_C04_S124_comb,-0.07763996994966367,Non-malignant
HN28_P14_C05_S125_comb,0.1578900364076738,Non-malignant
HN28_P14_C09_S129_comb,0.5133670977051887,Non-malignant
HN28_P14_C12_S132_comb,0.3742699352824365,Non-malignant
HN28_P14_D02_S134_comb,0.20360087040700223,Non-malignant
HN28_P14_D05_S137_comb,0.0862643443996503,Non-malignant
HN28_P14_D06_S138_comb,0.3650074237903026,Non-malignant
HN28_P14_D08_S140_comb,0.09925496714702253,Non-malignant
HN28_P14_D09_S141_comb,0.3491128886564082,Non-malignant
HN28_P14_D10_S142_comb,-0.0041109733497049165,Non-malignant
HN28_P14_E01_S145_comb,-0.22867713583029434,Non-malignant
HN28_P14_E02_S146_comb,0.3087361801855248,Non-malignant
HN28_P14_E03_S147_comb,0.02421287415143517,Non-malignant
HN28_P14_E06_S150_comb,0.19682995350583335,Non-malignant
HN28_P14_E07_S151_comb,0.310979965294212,Non-malignant
HN28_P14_E09_S153_comb,0.15427496348853095,Non-malignant
HN28_P14_E10_S154_comb,0.08243730832064065,Non-malignant
HN28_P14_E11_S155_comb,0.46074081417744145,Non-malignant
HN28_P14_F03_S159_comb,0.03651597075053565,Non-malignant
HN28_P14_F04_S160_comb,0.003097047135966713,Non-malignant
HN28_P14_F07_S163_comb,0.4025426403605737,Non-malignant
HN28_P14_F10_S166_comb,0.45265148794688814,Non-malignant
HN28_P14_G10_S178_comb,0.5717473309418691,Non-malignant
HN28_P14_G11_S179_comb,0.035792437756383425,Non-malignant
HN28_P14_G12_S180_comb,0.2149614004090895,Non-malignant
HN28_P14_H04_S184_comb,-0.12948061659437507,Non-malignant
HN28_P14_H07_S187_comb,-0.1075641549484336,Non-malignant
HN28_P15_A01_S289_comb,0.3606614462786191,Non-malignant
HN28_P15_A02_S290_comb,0.7684271941176843,Non-malignant
HN28_P15_A04_S292_comb,-0.10931794186230973,Non-malignant
HN28_P15_A06_S294_comb,0.020073211811909,Non-malignant
HN28_P15_A08_S296_comb,0.15760212776135624,Non-malignant
HN28_P15_A11_S299_comb,-0.05083486989784464,Non-malignant
HN28_P15_B03_S303_comb,-0.08666761231491751,Non-malignant
HN28_P15_B05_S305_comb,0.08500979804402271,Non-malignant
HN28_P15_B09_S309_comb,0.733466461851002,Non-malignant
HN28_P15_B10_S310_comb,-0.08880531282610928,Non-malignant
HN28_P15_B11_S311_comb,0.18738934228014148,Non-malignant
HN28_P15_C04_S316_comb,-0.20219004814637417,Non-malignant
HN28_P15_C05_S317_comb,-0.2812057582063424,Non-malignant
HN28_P15_C06_S318_comb,0.3659435623255606,Non-malignant
HN28_P15_C09_S321_comb,-0.0024729434493335066,Non-malignant
HN28_P15_C11_S323_comb,0.16162806344955902,Non-malignant
HN28_P15_C12_S324_comb,-0.017824177790565297,Non-malignant
HN28_P15_D01_S325_comb,-0.23355438239563273,Non-malignant
HN28_P15_D02_S326_comb,0.006227951281795893,Non-malignant
HN28_P15_D03_S327_comb,0.014611597602041972,Non-malignant
HN28_P15_D06_S330_comb,-0.05022758190337918,Non-malignant
HN28_P15_D11_S335_comb,0.24397490095438548,Non-malignant
HN28_P15_E03_S339_comb,0.5022000193935586,Non-malignant
HN28_P15_E11_S347_comb,-0.14834474233065117,Non-malignant
HN28_P15_F05_S353_comb,0.16418133262664644,Non-malignant
HN28_P15_F08_S356_comb,-0.0692556395447978,Non-malignant
HN28_P15_G02_S362_comb,-0.15346662016055415,Non-malignant
HN28_P15_G05_S365_comb,-0.09837496168225869,Non-malignant
HN28_P15_G06_S366_comb,0.13237713944014945,Non-malignant
HN28_P15_G11_S371_comb,-0.22889156961215776,Non-malignant
HN28_P15_H01_S373_comb,0.38970742980985845,Non-malignant
HN28_P15_H02_S374_comb,0.9612631002814696,Non-malignant
HN28_P15_H03_S375_comb,0.06909879336084343,Non-malignant
