,mean_z_high,Cell type,mean_z_low
HN25_P5_E10_S58_comb,0.04630075797430591,Non-malignant,0.12558100891239382
HN25_P5_E12_S60_comb,0.06983287486264518,Non-malignant,0.22437025977289962
HN25_P5_F01_S61_comb,0.29672839096097536,Non-malignant,0.3669122452424149
HN25_P5_F02_S62_comb,0.1523474913411055,Non-malignant,0.03305202043261907
HN25_P5_F06_S66_comb,-0.2779739571048243,Non-malignant,0.10979264008485358
HN25_P5_F08_S68_comb,-0.06286273749281872,Non-malignant,0.08960527087613684
HN25_P5_G04_S76_comb,-0.1335475454879087,Non-malignant,0.3154406669454616
HN25_P5_G08_S80_comb,-0.1718304768932946,Non-malignant,0.1867089857141272
HN25_P5_G09_S81_comb,-0.1659926708193614,Non-malignant,0.21598308322523363
HN25_P5_G10_S82_comb,0.38854621716160953,Non-malignant,0.34065255548446766
HN25_P5_G12_S84_comb,-0.30374771501823866,Non-malignant,0.19042434944629574
HN25_P5_H01_S85_comb,-0.1872469618199265,Non-malignant,0.39979151330903845
HN25_P5_H02_S86_comb,0.6085839123114849,Non-malignant,0.10355488238267355
HN25_P5_H03_S87_comb,-0.042968219496818824,Non-malignant,-0.1515292502127422
HN25_P5_H05_S89_comb,-0.09336184330107329,Non-malignant,0.10474021999158133
HN25_P5_H06_S90_comb,0.22238517560676188,Non-malignant,-0.15111373854747215
HN25_P5_H07_S91_comb,-0.3174178086188306,Non-malignant,0.3747199221168993
HN25_P5_H08_S92_comb,-0.3845996369622426,Non-malignant,-0.09143438052816917
HN25_P5_H09_S93_comb,-0.3907924597502932,Non-malignant,-0.057235554651295574
HN25_P5_H11_S95_comb,0.32369649259765804,Non-malignant,-0.02807805270716419
HN26_P13_A02_S98_comb,-0.04609804215330642,Non-malignant,0.05353764642304502
HN26_P13_A11_S107_comb,-0.11286998639021488,Non-malignant,0.4597566305578944
HN26_P13_D07_S139_comb,-0.1833275295234202,Non-malignant,-0.1472571824864187
HN26_P13_E07_S151_comb,-0.19240718177991503,Non-malignant,0.0009371129814740271
HN26_P13_E09_S153_comb,-0.19679712213249828,Non-malignant,0.23380526543086438
HN26_P13_F04_S160_comb,-0.07291064906060925,Non-malignant,-0.10165882532764267
HN26_P13_F07_S163_comb,-0.039397986771111046,Non-malignant,0.4762208666134758
HN26_P13_G06_S174_comb,-0.17528254068076526,Non-malignant,0.22208733031114097
HN26_P13_G10_S178_comb,0.0692807096298898,Non-malignant,0.339048700654872
HN26_P13_H03_S183_comb,-0.3234097891717272,Non-malignant,0.4850910085618853
HN26_P13_H09_S189_comb,-0.33546689713350375,Non-malignant,0.44646218937316096
HN26_P14_A02_S194_comb,-0.28411791789373075,Non-malignant,-0.08607597553496697
HN26_P14_A05_S197_comb,-0.25537655564532163,Non-malignant,-0.10189414411541785
HN26_P14_A12_S204_comb,-0.2769322562318225,Non-malignant,0.05188785789991208
HN26_P14_C03_S219_comb,-0.15638980097398442,Non-malignant,0.30027303176789644
HN26_P14_C05_S221_comb,-0.3735424228036397,Non-malignant,0.020180258870363062
HN26_P14_C09_S225_comb,-0.24962883662309146,Non-malignant,-0.1455694327430652
HN26_P14_D01_S229_comb,-0.23340082422663708,Non-malignant,-0.043586513169318816
HN26_P14_D03_S231_comb,-0.24205490444520034,Non-malignant,0.09923951124064896
HN26_P14_D07_S235_comb,-0.3828509363712645,Non-malignant,-0.08420713212198111
HN26_P14_D08_S236_comb,0.01701885504583173,Non-malignant,-0.11121071640640202
HN26_P14_E01_S241_comb,-0.2251518243284359,Non-malignant,0.2765042183376237
HN26_P14_E08_S248_comb,-0.3271428038229243,Non-malignant,-0.09722990437003384
HN26_P14_E09_S249_comb,-0.37520758748099203,Non-malignant,-0.11812421369283414
HN26_P14_F05_S257_comb,0.009857596854408705,Non-malignant,0.2918278771349375
HN26_P14_F07_S259_comb,-0.36946126573368865,Non-malignant,-0.009865690517491244
HN26_P14_G04_S268_comb,-0.37228315470846884,Non-malignant,0.20735327693167105
HN26_P14_G11_S275_comb,-0.3179641738271869,Non-malignant,-0.18043740230202693
HN26_P14_H05_S281_comb,0.1321915747191797,Non-malignant,0.1444087952096926
HN26_P14_H08_S284_comb,-0.25231005120860234,Non-malignant,0.17843945646086015
HN26_P14_H11_S287_comb,-0.10469291121857616,Non-malignant,0.20687309764464484
HN26_P25_A07_S103_comb,-0.1354635498939077,Non-malignant,0.16816115557555184
HN26_P25_A11_S107_comb,-0.0030923928323520924,Non-malignant,0.007641009648776867
HN26_P25_D04_S136_comb,-0.09808734933070816,Non-malignant,0.28081414330641297
HN26_P25_E12_S156_comb,-0.1987568039773921,Non-malignant,-0.07318435997700681
HN26_P25_G06_S174_comb,-0.3403722441993865,Non-malignant,0.05705943117661006
HN26_P26_A03_S291_comb,0.10979076335283675,Non-malignant,-0.0538297094023182
HN26_P26_B04_S304_comb,-0.3774179128798807,Non-malignant,-0.15181230522728484
HN26_P26_B05_S305_comb,-0.3778641083487141,Non-malignant,-0.16339608431049032
HN26_P26_C09_S321_comb,-0.15216885302599073,Non-malignant,1.3675712129539501
HN26_P26_C10_S322_comb,-0.1482201190211883,Non-malignant,-0.13298888699015776
